Z    N    M
40   69   48.680
40   70   46.170
40   71   40.580
40   72   37.620
40   73   31.790
40   74   28.490
40   75   22.470
40   76   19.010
40   77   12.840
40   78   -9.190
40   79   -3.020
40   80   0.670
40   81   6.680
40   82   10.640
40   83   18.750
40   84   25.110
40   85   33.430
40   86   40.140
40   87   48.870
40   88   55.920
40   89   65.170
40   90   72.440
40   91   81.820
40   92   89.450
40   93   99.220
40   94   7.540
40   95   17.760
40   96   26.640
40   97   37.320
40   98   46.600
40   100  68.110
40   102  90.220
40   104  13.290
41   35   -5.150
41   37   22.640
41   38   32.010
41   39   38.670
41   40   46.930
41   41   52.840
41   42   58.490
41   43   61.700
41   44   66.790
41   45   69.360
41   46   74.110
41   47   76.360
41   48   80.650
41   49   82.660
41   50   86.650
41   51   86.370
41   52   87.300
41   53   86.280
41   54   86.840
41   55   85.830
41   56   85.740
41   57   83.500
41   58   82.420
41   59   79.860
41   60   78.950
41   61   76.330
41   62   75.240
41   63   72.070
41   64   70.770
41   65   67.060
41   66   65.260
41   67   61.230
