Z    N            M
35   44      -76.15
36   43      -74.54
37   42      -70.89
38   41      -65.44
39   40      -58.08
40   39      -46.81
41   38      -31.52
42   37      -14.49
43   36        4.74
44   35       25.62
45   34       49.17
46   33       74.29
20   60      192.32
21   59      158.39
22   58      123.73
23   57       94.72
24   56       64.64
25   55       40.64
26   54       15.26
27   53       -3.57
28   52      -24.84
29   51      -37.96
30   50      -53.46
31   49      -59.95
32   48      -69.41
33   47      -72.03
34   46      -77.24
35   45      -76.01
36   44      -77.63
37   43      -72.28
38   42      -70.01
39   41      -60.81
40   40      -55.03
41   39      -38.02
42   38      -24.40
43   37       -3.82
44   36       13.76
45   35       38.40
46   34       60.31
21   60      169.98
22   59      135.40
23   58      104.60
24   57       74.80
25   56       48.82
26   55       23.88
27   54        2.42
28   53      -17.35
29   52      -33.23
30   51      -47.58
31   50      -58.97
32   49      -66.76
33   48      -72.50
34   47      -76.24
35   46      -77.80
36   45      -77.81
37   44      -75.79
38   43      -71.80
39   42      -65.88
40   41      -58.24
41   40      -46.73
42   39      -31.41
43   38      -14.15
44   37        4.77
45   36       26.19
46   35       49.17
48   33      101.38
22   60      145.71
23   59      115.11
24   58       83.52
25   57       57.90
26   56       30.99
27   55       10.07
28   54      -12.29
29   53      -27.01
30   52      -44.06
31   51      -54.21
32   50      -66.85
33   49      -70.60
34   48      -77.43
35   47      -77.47
36   46      -80.26
37   45      -76.59
38   44      -75.91
39   43      -68.23
40   42      -63.86
41   41      -51.71
42   40      -40.64
43   39      -21.77
44   38       -6.16
45   37       16.51
46   36       36.29
48   34       86.37
21   62      193.84
22   61      157.76
23   60      125.47
24   59       94.12
25   58       66.61
26   57       40.11
27   56       17.11
28   55       -4.66
29   54      -21.61
30   53      -37.54
31   52      -50.49
32   51      -61.93
33   50      -70.62
34   49      -75.98
35   48      -78.95
36   47      -80.21
37   46      -79.42
38   45      -77.07
39   44      -72.80
40   43      -66.64
41   42      -57.86
42   41      -46.16
43   40      -31.43
44   39      -14.24
45   38        5.21
46   37       26.22
48   35       74.15
22   62      168.45
23   61      136.33
24   60      103.29
25   59       76.12
26   58       47.73
27   57       25.24
28   56        1.39
29   55      -14.85
30   54      -33.41
31   53      -45.14
32   52      -59.34
33   51      -66.73
34   50      -76.74
35   49      -78.18
36   48      -82.36
37   47      -79.98
38   46      -80.51
39   45      -74.53
40   44      -71.76
41   43      -61.17
42   42      -54.02
43   41      -37.52
44   40      -24.44
45   39       -3.50
46   38       14.30
47   37       38.69
48   36       60.29
21   64      218.34
22   63      180.82
23   62      147.10
24   61      114.28
25   60       85.31
26   59       57.30
27   58       32.82
28   57        9.52
29   56       -9.29
30   55      -26.32
31   54      -40.78
32   53      -53.79
33   52      -64.04
34   51      -72.78
35   50      -79.18
36   49      -81.81
37   48      -82.46
38   47      -81.38
39   46      -78.37
40   45      -73.87
41   44      -66.78
42   43      -57.79
43   42      -45.85
44   41      -31.03
45   40      -14.10
46   39        5.17
47   38       26.44
48   37       49.18
50   35      101.02
22   64      191.83
23   63      158.27
24   62      123.84
25   61       95.18
26   60       65.38
27   59       41.37
28   58       16.10
29   57       -2.08
30   56      -21.64
31   55      -34.91
32   54      -50.60
33   53      -59.58
34   52      -71.13
35   51      -75.95
36   50      -83.48
37   49      -82.54
38   48      -84.47
39   47      -79.82
40   46      -78.28
41   45      -69.44
42   44      -63.93
43   43      -51.31
44   42      -39.86
45   41      -21.28
46   40       -5.98
47   39       16.68
48   38       36.31
50   36       86.20
23   64      169.38
24   63      135.16
25   62      104.78
26   61       75.33
27   60       49.43
28   59       24.67
29   58        4.44
30   57      -14.45
31   56      -29.95
32   55      -44.49
33   54      -56.24
34   53      -66.55
35   52      -74.27
36   51      -80.72
37   50      -84.48
38   49      -84.81
39   48      -83.26
40   47      -80.06
41   46      -74.29
42   45      -67.01
43   44      -57.96
44   43      -45.83
45   42      -30.54
46   41      -13.62
47   40        5.17
48   39       26.17
49   38       49.45
50   37       74.08
22   66      215.75
23   65      180.80
24   64      145.06
25   63      114.97
26   62       83.81
27   61       58.35
28   60       31.71
29   59       12.08
30   58       -8.87
31   57      -23.62
